MMSI,Longitude,Latitude,Speed,Heading,Day,time_to_seconds,delta_time,delta_speed,delta_heading
205517000,117.758,38.973,0.1,292,6,3096,5850,0.0,292
205517000,117.758,38.973,0.1,292,6,3126,5910,0.0,292
205517000,117.758,38.973,0.1,292,6,3156,5970,0.0,292
205517000,117.758,38.973,0.1,292,6,3186,6030,0.0,292
205517000,117.758,38.973,0.1,292,6,3216,6090,0.0,292
205517000,117.758,38.973,0.1,292,6,3246,6150,0.0,292
205517000,117.758,38.973,0.1,292,6,3276,6210,0.0,292
205517000,117.758,38.973,0.1,292,6,3306,6270,0.0,292
205517000,117.758,38.973,0.1,292,6,3336,6330,0.0,292
205517000,117.758,38.973,0.1,292,6,3366,6390,0.0,292
205517000,117.758,38.973,0.1,292,6,3396,6450,0.0,292
205517000,117.758,38.973,0.1,292,6,3426,6510,0.0,292
205517000,117.758,38.973,0.1,292,6,3456,6570,0.0,292
